"source","id","doi","title","authors","journal","published_date","url","abstract"
"pubmed","42727359","10.1016/j.compbiolchem.2026.109394","Uncovering hub genes and key pathways responsive to drought stress in rice via meta-analysis of transcriptomic data.","Joshi, Sachin; Chaudhary, Parneeta; Mrinal, Rishi; Chauhan, Ankita; Pandey, Niharika; Gautam, Sneh; Lohani, Pushpa","Computational biology and chemistry","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42727359/","Drought stress presents a formidable threat to global rice cultivation, triggering complex molecular responses that impact plant growth and productivity. To decipher the underlying gene expression dynamics, we performed a comprehensive meta-analysis of transcriptomic datasets derived from drought-tolerant rice genotypes. Via microarray data from three independent studies, we identified a set of consistently expressed differentially expressed genes (DEGs) under drought conditions. Integration of functional annotation tools, including GO and KEGG pathway enrichment, revealed key biological processes and signaling cascades involved in stress mitigation, such as ABA signaling, protein folding, and photosynthesis suppression. Protein-protein interaction (PPI) network construction, followed by hub gene identification via maximal clique centrality (MCC), highlighted pivotal regulators including LEA proteins, dehydrins, HSP70, and several transcription factors. Machine learning approaches further prioritize potential biomarkers, with Random Forest models achieving high classification accuracy and pinpointing key predictive genes. Chromosomal localization analysis provided spatial insights into the distribution of these hub genes, whose expression patterns were further compared against qRT-PCR data from previously published studies. This integrative approach identifies candidate genomic markers and mechanistic insights that may support future breeding strategies for drought-tolerant rice, pending experimental validation."
"pubmed","42726839","10.1371/journal.pone.0357755","Stage-specific evolutionary dynamics in pediatric leukemia inferred using Bayesian stochastic modeling.","Kim, Seung-Hwan","PloS one","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42726839/","Tumor evolution in pediatric leukemia is shaped by stochastic fluctuations and constraints imposed by developmental programs and therapeutic pressure. However, quantitative characterization of these dynamics remains challenging because of sparse longitudinal sampling and measurement noise in clinical data. In this study, we applied Bayesian calibration of stochastic Ornstein-Uhlenbeck (OU) models to characterize patient-specific tumor evolution trajectories in pediatric leukemia. Using a longitudinal cohort of KMT2A-rearranged leukemias (52 patients, 311 longitudinal observations corresponding to 294 unique patient-time points), we estimated parameters governing mean reversion and stochastic variability and assessed the stability and uncertainty of these estimates through simulation-based validation under empirically derived sampling conditions. A representative single-patient trajectory further illustrated patient-level evolutionary dynamics. Across the cohort, inferred OU parameters showed stage-associated tendencies, including higher average diffusion in refractory and very-early disease groups, although posterior intervals overlapped substantially and did not support sharply separated dynamical regimes. Simulation analyses indicated that Bayesian calibration provided stable posterior computation and interpretable uncertainty quantification under sparse sampling, although recovery remained parameter- and schedule-dependent and predictive performance was limited. These findings show that Bayesian-calibrated stochastic models provide a useful framework for interpreting longitudinal tumor evolution in pediatric leukemia. While not intended for clinical prediction, this approach offers a quantitative perspective on stage-dependent disease dynamics and highlights the importance of uncertainty-aware modeling in sparse clinical datasets."
"pubmed","42725847","10.1002/iid3.70497","Exploring the Mechanism of Action of Danggui Buxue Decoction in Treating Chronic Glomerulonephritis Based on UPLC-MS/MS and Network Pharmacology.","Liu, Qiao; Wang, Yinghang; Wang, Xinyue; Yang, Hongmei; Pan, Zhi; Guo, Di","Immunity, inflammation and disease","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42725847/","ETHNOPHARMACOLOGICAL RELEVANCE: According to Chinese medicine theory, chronic glomerulonephritis (CGN) is characterized by dampness-heat and blood stasis. Danggui Buxue Decoction (DBD) has shown good efficacy in the treatment of diseases associated with qi deficiency and blood stasis (such as CGN). However, the molecular mechanisms behind its therapeutic effects are unclear. AIM OF THE STUDY: This study aims to elucidate the role and mechanism of action of DBD in the treatment of CGN. MATERIALS AND METHODS: The chemical composition of DBD was identified using UPLC-MS/MS, and network pharmacology, bioinformatics, and molecular-docking techniques were employed to predict the core targets and key signaling pathways of DBD in the treatment of CGN. At the same time, we established an LPS-induced rat glomerular mesangial (HBZY-1) cell model and a CGN rat model for in vitro and in vivo validation. We used MTT and Transwell assays to assess the viability, migration, and invasion capabilities of HBZY-1 cells, and also measured inflammatory cytokine levels via ELISA. A preliminary evaluation of the regulatory effects of DBD on key proteins in the TLR4/NF-kappaB signaling pathway in HBZY-1 cells using immunofluorescence. Biochemical analyses of urine and serum were performed to measure 24-h urinary protein, Serum Creatinine (SCr), Blood Urea Nitrogen (BUN), and levels of inflammatory factors in rats. Pathological changes in kidney tissue were examined using HE, Masson, and PAS staining. The extent of apoptosis in kidney tissue cells was assessed using TUNEL and JC-1 staining assays. Immunohistochemistry, immunofluorescence, RT-qPCR, and Western blotting were used to detect the expression of relevant mRNAs and proteins in kidney tissue. RESULTS: The UPLC-MS/MS method was used to identify 104 chemical components and 499 potential targets of action in DBD. The 166 potential target genes in DBD are associated with the therapeutic mechanism of CGN. Results from network pharmacology and bioinformatics suggest that the NF-kappaB signaling pathway may be a potential mechanism underlying the treatment of CGN with DBD. In vitro experiments demonstrated that DBD suppressed the survival rate of HBZY-1 cells, upregulated the secretion of Interleukin- 4 (IL-4) and Interleukin- 10 (IL-10), and downregulated the expression of Toll-Like Receptor 4 (TLR4) and Nuclear Factor kappa-B (NF-kappaB) proteins. In vivo, DBD downregulated 24-h urinary protein, SCr, BUN, Tumor Necrosis Factor-alpha (TNF-alpha), and Interleukin- 6 (IL-6) levels in CGN rats, while upregulating IL-4 and IL-10 levels. At the same time, DBD exerts its therapeutic effect on CGN by inducing apoptosis through a reduction in mitochondrial membrane potential and by alleviating the inflammatory response via inhibition of the TLR4/NF-kappaB pathway. CONCLUSIONS: In summary, DBD may exert a therapeutic effect on CGN by regulating the TLR4/NF-kappaB signaling pathway, thereby suppressing the inflammatory response and modulating apoptosis."
"pubmed","42724740","10.21037/jtd-2026-0900","Single-cell and machine learning identify a trihydroxybutyrylation-related prognostic signature in esophageal cancer.","Zhang, Qun; Li, Duojie; Yin, Hongmei; Zhu, Chaomang; Huang, Jie; Zhou, Shixiang","Journal of thoracic disease","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42724740/","BACKGROUND: Esophageal squamous cell carcinoma (ESCC) is a highly aggressive malignancy with a poor prognosis. This study identifies malignant epithelial subtypes and establishes prognostic biomarkers through single-cell transcriptomics and integrative machine learning approaches. METHODS: We re-analyzed the single-cell RNA sequencing data (GSE188900) and identified malignant epithelial cells using inferCNV. Differentially expressed genes (DEGs) among malignant epithelial subtypes were identified and intersected with lysine beta-hydroxybutyrylation (Kbhb)-related genes. Candidate genes were screened using Cox, least absolute shrinkage and selection operator (LASSO), and extreme gradient boosting (XGBoost) to construct a random survival forest (RSF) prognostic model. Model performance was validated in GSE53625, TCGA-ESCC, and GSE53624 cohorts. Finally, the expression of prognostic genes was detected by quantitative polymerase chain reaction (qPCR). RESULTS: Single-cell RNA sequencing identified three distinct malignant epithelial cells in ESCC. Among them, the Malignant2 subtype exhibited stemness-related characteristics, initiated tumor differentiation, and was potentially regulated by the transcription factor (TF) SOX11. There were 659 genes identified by intersecting Malignant2-related DEGs with Kbhb-related genes. Based on these genes, a seven-gene prognostic model was constructed, and a corresponding risk score was calculated. Correlation analysis showed that the risk score was positively associated with tumor stage. qPCR results confirmed that the expression patterns of the prognostic genes were consistent with the computational analysis. The enrichment of Kbhb-related genes in the Malignant2 subtype suggests a potential link between metabolic reprogramming and epigenetic regulation in ESCC progression. CONCLUSIONS: We identified distinct malignant epithelial subtypes in ESCC and developed a seven-gene prognostic signature based on Kbhb-related genes. This model demonstrated robust predictive performance and was significantly associated with tumor stages."
"pubmed","42723633","10.1093/bioinformatics/btag456","Genomic language model for predicting enhancers and their allele-specific activity in the human genome.","Sathian, R; Dutta, P; Ay, F; Davuluri, R V","Bioinformatics (Oxford, England)","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42723633/","MOTIVATION: Predicting and deciphering the regulatory logic of enhancers remains a significant challenge due to their complex sequence features and the absence of consistent genetic or epigenetic signatures that distinguish them from other genomic regions. Existing machine learning methods capture nucleotide composition but often fail to model sequence context effectively. RESULTS: We present DNABERT-Enhancer, a novel enhancer prediction method, by applying DNABERT pre-trained language model on the human genome. Using ENCODE registry of candidate cis-regulatory elements (cCREs), we curated a benchmark dataset, consisting of 21,926 enhancers of 201 bp length and 46,159 enhancers of 350 bp length, as positive instances. The best fine-tuned model achieved 88.05% accuracy and a Matthews correlation coefficient of 76% on an independent dataset. Genome-wide application identified 1,684,595 enhancer regions covering 26.65% of the human genome. By performing integrative analyses with DNABERT-based transcription factor models, we identify 2,681 statistically significant loss-of-function and 1,917 gain-of-function enhancer variants, which respectively alter the function of 1,623 and 1,247 ENCODE-cCRE enhancers. Similarly, we identify 4,057 candidate de novo enhancers, created by 5,464 gain-of-function variants. These genome-wide enhancer annotations and candidate genetic variants predicted by DNABERT-Enhancer provide valuable resources for genome interpretation in functional and clinical genomics studies. AVAILABILITY: DNABERT-Enhancer is freely available at https://github.com/DavuluriLab/DNABERT-Enhancer; Trained model predictions can be explored interactively via the web application at https://dnabert-enhancer-datarepo.streamlit.app/. The fine-tuned models are archived and citable through Zenodo (https://doi.org/10.5281/zenodo.19157566). SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online."
"pubmed","42723412","10.1111/gbb.70059","An Integrated Analysis of Manganese Metabolism-Related Genes and Their Association With Biomarkers, Immune Infiltration, and Clinical Subtypes in Alzheimer's Disease.","Shu, Shengnan; Hu, Jiahao; Hu, Shanshan; Yao, Yefeng","Genes, brain, and behavior","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42723412/","Alzheimer's disease (AD), a neurodegenerative condition marked by amyloid-beta plaques and tau protein neurofibrillary tangles, progresses against a backdrop of essential biological processes. Manganese, an indispensable trace element for vital functions including energy metabolism and antioxidant defense, is integral to neurological health. Its precise metabolic role throughout the course of AD pathogenesis is not fully elucidated. Four essential manganese metabolism-related genes were identified as diagnostic markers through a multi-omic framework. This approach integrated Weighted Gene Co-Expression Network Analysis with machine learning ensembles (Least Absolute Shrinkage and Selection Operator/Random Forest/Extreme Gradient Boosting), followed by rigorous testing in an independent dataset. Beyond identification, we utilized CIBERSORT and ssGSEA to characterize immune infiltration and leveraged GSEA/GO/KEGG for pathway elucidation. Finally, AD patients were stratified into molecular subgroups based on these hub genes, and their underlying regulatory networks involving miRNAs and transcription factors were reconstructed. An integrated bioinformatics framework identified 12 differentially expressed genes related to manganese metabolism in AD. Machine-learning-based feature selection further pinpointed four key diagnostic biomarkers (TSPO, PTBP1, GLO1, and ACACB) with high discriminative power (AUC: 0.831-0.905). Immune infiltration analysis revealed substantial immune remodeling in AD, including an elevation of naive B cells. Moreover, AD samples were classified into two molecular subtypes displaying distinct immune and metabolic characteristics, and regulatory miRNA/TF interaction networks were constructed for the core genes. Our results shed new light on the molecular mechanisms underlying AD and support future efforts toward early diagnosis and personalized therapeutic interventions based on molecular subtypes."
"pubmed","42723231","10.1002/cbic.202500967","A Novel SXXLF Motif in the FXR N-Terminal Domain Mediates Coregulator and Interdomain Interactions.","Villalona, Priscilla; Pulahinge, Thilini; Yu, Tracy; Wenning, Jordan; Khan, Sabab Hasan; Frisbie, Crawford Joseph; Magafas, Jill; Barbe, Addison; Okafor, C Denise","Chembiochem : a European journal of chemical biology","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42723231/","The nuclear receptor (NR) superfamily is comprised of ligand-regulated transcription factors that contain an intrinsically disordered domain at the amino-terminal end, known as the N-terminal domain (NTD). While this poorly conserved domain is known to possess ligand-independent activation function (AF-1), few NTD functions are conserved between NRs. Identified roles in other receptors include androgen receptor (AR), estrogen receptor (ER), and mineralocorticoid receptor (MR). Here, we aim to define the function of the NTD of the farnesoid X receptor (FXR), a crucial regulator of lipid and bile acid metabolism. We show that the NTD engages in interdomain contact with other FXR domains. We also observe that the NTD interacts directly with coregulator proteins. Using mutagenesis, mammalian two-hybrid assays, mammalian one-hybrid assay, and molecular dynamics (MD) simulations, we identify and validate a novel SXXLF motif in the NTD which mediates interactions with both coregulators and the ligand binding domain. Mutation of the motif induces large changes in conformational and allosteric coupling in FXR. Our study identifies a new nuclear receptor-interacting motif that modulates the transcriptional activity of FXR."
"pubmed","42722717","10.1038/s41598-026-70626-y","ZUP1 contributes to cisplatin resistance and treg-related signaling in non-small cell lung cancer.","Xiong, Wanyan; Deng, Zhixuan; Ding, Fang; Xiao, Zhike; Shi, Wang; Gu, Gang; Yan, Nan","Scientific reports","2026-09-11","https://pubmed.ncbi.nlm.nih.gov/42722717/","Acquired cisplatin resistance limits platinum chemotherapy efficacy in non-small cell lung cancer (NSCLC) and is accompanied by tumor immune microenvironment (TME) remodeling. We integrated public NSCLC single-cell RNA-seq datasets to compare cellular composition and CellChat-inferred communication between post-chemotherapy remission and relapse/resistant tumors, and validated ZUP1 expression and prognostic relevance in TCGA and external cohorts. In cisplatin-resistant A549/R and SK-MES-1/R cells, we generated stable ZUP1 knockdown and assessed proliferation, tumorsphere growth and formation, apoptosis (Annexin V/PI) and BAX/BCL2 expression, and xenograft growth. Tumor cell-peripheral Treg co-cultures were used to quantify the proportion of FOXP3(+) cells within the gated CD4(+) population. Natural-product screening was guided by molecular docking, and ZUP1-compound binding was evaluated by surface plasmon resonance (SPR). Peimisine responses were compared between parental and cisplatin-resistant cells. In A549/R cells, experimentally measured viability across a peimisine-cisplatin concentration matrix and cisplatin dose-response curves at fixed peimisine concentrations were used to evaluate changes in cisplatin sensitivity. Resistant tumors exhibited remodeled cellular composition and enhanced intercellular communication, including increased epithelial-to-Treg signaling. ZUP1 was upregulated in resistant models and associated with unfavorable prognosis. ZUP1 knockdown suppressed growth and tumorsphere formation, increased apoptosis, reduced tumorigenicity in vivo, and reduced the proportion of CD4(+)FOXP3(+) Treg-like cells in co-culture. Peimisine directly bound ZUP1 by SPR, inhibited resistant cell growth, and was associated with lower estimated cisplatin IC(5)(0) values in A549/R cells at fixed peimisine concentrations. ZUP1 contributes to the maintenance of cisplatin-resistant growth and is associated with enhanced Treg-related immunosuppressive signaling in NSCLC. Peimisine directly binds ZUP1 and may serve as a preliminary natural-product lead for further target-validation and combination studies."
"pubmed","42722432","10.1101/gad.353898.126","A HUWE1 regulatory helix gates ASCL1 degradation through its C-terminal phospho-degron in small cell lung cancer.","Masuzawa, Keita; Dong, Kevin D; XiaoYang Hu, Calvin; Peng, Ting; Myung, Yoochan; Singh, Shilpa; Li, Xinyue; Wang, Tianchu; Jin, Cyrus; Paulo, Joao A; Yang, Ka; Schmid, Ernst W; Booker, Matthew A; Li, Yixiang; Hong, Deli; Lazo, Suzan; Tolstorukov, Michael Y; Doench, John G; Duplaquet, Leslie; Donovan, Katherine A; Iqbal, Sumaiya; Fischer, Eric S; Liau, Brian B; Gygi, Steven P; Oser, Matthew G","Genes & development","2026-09-10","https://pubmed.ncbi.nlm.nih.gov/42722432/","Lineage-defining transcription factors are key oncogenic drivers but remain difficult to target pharmacologically due to the absence of ligandable pockets. The molecular rules governing substrate recognition by large HECT ubiquitin ligases also remain incompletely understood, limiting efforts to exploit these enzymes for targeted protein degradation. Here we combine genome-wide CRISPR knockout screening with base editor tiling screens at amino acid resolution, both coupled to an endogenous knock-in reporter of the SCLC lineage oncogenic transcription factor ASCL1, to systematically interrogate the mechanisms governing its degradation. These complementary screens unbiasedly identify the HECT ubiquitin ligase HUWE1 as the dominant regulator of ASCL1 stability in small cell lung cancer (SCLC) and resolve a conserved C-terminal phospho-degron centered on Ser207 and terminal Trp/Phe residues that are required for HUWE1 docking and ubiquitin-mediated degradation. Unexpectedly, base editor screening further uncovers a previously unrecognized regulatory module within HUWE1: a short negatively charged helix that functions as an autoinhibitory gate controlling access of phospho-degron substrates to HUWE1. Charge-flipping mutations within this regulatory helix relieve autoinhibition and accelerate degradation of multiple HUWE1 phospho-degron substrates, including ASCL1 and the canonical HUWE1 substrate DDIT4. Stabilization of ASCL1 through degron disruption paradoxically impairs SCLC proliferation, revealing that dynamic proteasome-coupled turnover is required for transcription factor function. Together, these findings reveal molecular rules governing HUWE1 phospho-degron recognition and identify a regulatory gate controlling substrate engagement. They also illustrate a generalizable strategy for resolving degradation mechanisms of undruggable transcription factors in their endogenous cellular context."
"pubmed","42721176","10.1109/TCBBIO.2026.3731227","DMGRN: Enhancing Diffusion Models for Gene Regulatory Network Inference.","Li, Rongyuan; Wu, Jingli; Chen, Chunfeng; Li, Gaoshi; Liu, Jiafei; Hu, Haize; Xuan, Junbo; Liu, Jinlu; Deng, Zheng; Gong, Daoqing","IEEE transactions on computational biology and bioinformatics","2026-09-10","https://pubmed.ncbi.nlm.nih.gov/42721176/","Gene regulatory networks (GRNs) encode the intricate interactions between transcription factors (TFs) and their target genes, playing a pivotal role in orchestrating cellular metabolism, proliferation, and differentiation, thereby illuminating the molecular mechanisms underlying disease onset and progression. The increasing availability of single-cell RNA sequencing (scRNA-seq) data offers unprecedented opportunities for computational GRN inference. However, the inherent high noise and sparsity of scRNA-seq data considerably impair the performance of existing inference methods. To overcome these limitations, we propose DMGRN, a novel GRN inference frame work built upon an improved Denoising Diffusion Probabilistic Model (DDPM). Our approach first applies a forward diffusion process to progressively introduce Gaussian noise into the raw expression data, and subsequently employs a reverse process integrated with a structural equation model (SEM) to predict the noise, thereby accurately recovering gene regulatory relationships. To further enhance inference fidelity, we introduce a gene similarity alignment loss that encourages correlation consistency between the predicted noise and the perturbed data at the gene level, enabling the model to simultaneously capture cellular-level noise residuals and gene-level regulatory co-expression patterns. Experimental results on 28 BEELINE benchmark datasets demonstrate that DMGRN achieves the highest Early Precision Ratio (EPR) on 18 out of 28 BEELINE benchmark configurations, demonstrating superior stability and computational efficiency compared to state-of-the-art methods."
